brand,valor_antigo,Valor_atual,desconto,avaliacao,Quantidade de avaliação,Parcelamento,Observacao
Apple iPhone 11 Pro 64 Gb Verde Meia-noite - Excelente,2.599,2.443,6% OFF,,,10x 244,
 iPhone 5s 64 GB prateado,1.999,1.999,,4.0,(25),10x 199,Disponível em 2 cores
iPhone XS 256gb Prata Excelente Trocafone - Celular Usado,1.949,1.949,,5.0,(2),10x 194,
iPhone 7 Plus 256gb Preto Matte Bom - Celular Usado,919,919,,,,10x 91,
Apple iPhone XR 128 Gb - Vermelho - Recondicionado-p.entrega,2.099,1.847,12% OFF,,,10x 184,
Apple iPhone 8 64gb 2gb Ram 4.7'' Câm 12mp Ios 13 Revisado,999,799,20% OFF,,,10x 79,Disponível em 2 cores
 iPhone 6 16 Gb Digital Inoperante  Lindo 10x Sem Juros ,500,425,15% OFF,,,10x 42,
iPhone 8 Plus 64gb Dourado Excelente - Celular Usado,1.049,1.049,,5.0,(1),10x 104,
iPhone 13 Mini 128 Gb Estelar - 1 Ano De Garantia -excelente,3.090,2.904,6% OFF,,,10x 290,
Apple iPhone 13 (128 GB) - Verde - Distribuidor Autorizado,4.424,4.075,7% OFF,4.9,(5339),10x 407,Disponível em 6 cores
iPhone 6 16 Gb Rede 4g Wifi Câm.8mp - Prateado,499,499,,,,10x 50,
 iPhone 7 32 Gb Dourado Lindo 10x Sem Juros,700,700,,,,10x 70,
Apple iPhone 11 (64 Gb) - Preto Lindo 10x Sem Juros,1.998,1.998,,,,10x 199,
Apple iPhone XR 64 Gb - Branco Lindo Envio Imediato,1.450,1.319,9% OFF,,,10x 127,
iPhone 8 Plus Vitrine Bateria 100%,1.379,1.379,,4.6,(63),10x 137,
iPhone 8 64 Gb Vermelho - 1 Ano De Garantia- Excelente,899,899,,,,10x 89,
 iPhone 6 Plus 16 Gb Prata Lindo 10x Sem Juros ,685,685,,,,10x 68,
 iPhone XR 64 Gb Branco  - Recondicionado - P.entrega C/nfe!,2.099,1.742,17% OFF,,,10x 174,
 iPhone 8 64 Gb Cinza-espacial Excelente  Envio Imediato,850,765,10% OFF,,,10x 74,
iPhone 8 64gb Cinza Espacial Excelente - Celular Usado,829,829,,,,10x 82,
Usado: iPhone 11 128gb Preto Muito Bom - Trocafone,2.289,2.289,,,,10x 228,
iPhone XS Max 256gb,2.499,2.499,,4.3,(3),10x 249,Disponível em 2 cores
Apple iPhone 12 Mini (128 Gb) - Verde Vitrine Garantia + Nf,2.447,2.447,,5.0,(2),10x 244,
iPhone 13 Pro Max 1tb Dourado Ouro 24k,25.000,25.000,,,,10x 2.500,
 iPhone 7 128 Gb Vermelho Lindo 10x Sem Juros,850,697,18% OFF,,,10x 69,
"iPhone 6s, Mn112br/a, Tela 4.7 ,  32gb, - Dourado",580,580,,,,10x 56,
iPhone 8 Plus 64gb Prateado Muito Bom - Celular Usado,989,989,,5.0,(1),10x 98,
Apple iPhone 11 (128 Gb) Branco Novo,2.729,2.729,,,,10x 272,Disponível em 4 cores
Apple iPhone 11 (128 Gb) Preto + Acessórios Original,2.797,2.797,,,,10x 279,Disponível em 4 cores
Apple iPhone 11 64 Gb Branco - 1 Ano De Garantia - Excelente,1.999,1.879,6% OFF,4.5,(17),10x 187,
Vitrine - Apple iPhone 13 Mini (128 Gb) - 5g Meia-noite,2.999,2.999,,5.0,(2),10x 299,
Apple iPhone 11 256 Gb Preto - 1 Ano De Garantia - Excelente,2.299,2.161,6% OFF,2.8,(4),10x 216,
iPhone 12 Roxo 64gb Promoção Em 10x Sem Juros,2.399,2.279,5% OFF,,,10x 227,
Apple iPhone XR 128 Gb - Amarelo Lindo 10x Sem Juros,1.630,1.548,5% OFF,,,10x 154,
iPhone 8 64gb Dourado Celular Muito Bom,779,779,,,,10x 77,
Apple iPhone 13 (256 GB) - Azul - Distribuidor Autorizado,5.599,5.599,,4.9,(5339),10x 559,Disponível em 6 cores
 iPhone 6 Plus 64 Gb Lindo 10x Sem Juros,700,665,5% OFF,4.0,(2),10x 66,
 Apple iPhone 8 64 Gb Cinza-espacial 2 Gb Ram,849,790,7% OFF,3.9,(12),10x 79,
iPhone 12 Pro Max (128 Gb) - Original Promoção,4.299,3.669,14% OFF,,,10x 366,Disponível em 2 cores
 iPhone 6s 32 Gb Rose Lindo 10x Sem Juros,570,541,5% OFF,,,10x 54,
 iPhone 8 64 Gb Cinza-espacial,944,944,,,,10x 94,
 iPhone 8 64 Gb Bateria 100% C/ Garantia | Nfe - Excelente ,886,673,24% OFF,,,10x 65,
 iPhone 7 128 Gb Bateria 100% C/ Garantia | Nfe - Excelente ,848,645,24% OFF,,,10x 62,
 iPhone 7 256 Gb Bateria 100% C/ Garantia | Nfe - Excelente ,986,749,24% OFF,,,10x 72,
"iPhone 15 Plus 128 Gb Preto Tela 6,7 5g Câmera 48mp",7.100,7.100,,,,10x 682,
Apple iPhone 15 Plus (128 GB) - Azul,6.880,6.880,,5.0,(3),10x 688,Disponível em 5 cores
 iPhone 7 32 Gb Prata Lindo 10x Sem Juros,700,588,16% OFF,5.0,(2),10x 58,
Apple iPhone 11 64gb Promoção Original Com Desconto À Vista!,2.119,1.885,11% OFF,,,10x 182,Disponível em 3 cores
iPhone 6 Plus 16 Gb Cinza-espacial Lindo 10x Sem Juros,700,665,5% OFF,,,10x 66,
iPhone 11 Pro 256gb Verde Meia Noite Usado,3.199,2.943,8% OFF,,,10x 285,
 iPhone 4s 64 GB branco,4.999,4.999,,4.6,(11),10x 499,Disponível em 2 cores
 iPhone SE 16 Gb ( Primeira Geracao ) Lindo Envio Imediato,550,484,12% OFF,,,10x 46,
Apple iPhone 11 128gb Original 10x Sem Juros,2.299,2.184,5% OFF,,,10x 218,Disponível em 3 cores
 iPhone 8 64 Gb Vermelho  Lindo 10x Sem Juros,900,855,5% OFF,,,10x 82,
Apple iPhone 14 Plus (128 GB) - Azul - Distribuidor autorizado,6.199,5.259,15% OFF,4.9,(2087),10x 525,Disponível em 5 cores
 iPhone 5s 16 Gb Cinza-espacial Lindo + Nota Fiscal,420,399,5% OFF,3.9,(12),10x 39,Disponível em 2 cores
Apple iPhone 15 Pro (256 GB) - Titânio Branco - Distribuidor autorizado,9.499,8.899,6% OFF,4.8,(231),10x 889,Disponível em 4 cores
Apple iPhone 11 (128 Gb) Preto + Acessórios,2.657,2.657,,,,10x 257,Disponível em 4 cores
